"A00","Cholera","2020-10-21 22:54:58.000000"
"A01","Typhoid and paratyphoid fevers","2020-10-21 22:54:58.000000"
"A010","Typhoid fever","2020-10-21 22:54:58.000000"
"A011","Paratyphoid fever A","2020-10-21 22:54:58.000000"
"A012","Paratyphoid fever B","2020-10-21 22:54:58.000000"
"A013","Paratyphoid fever C","2020-10-21 22:54:58.000000"
"A014","Paratyphoid fever, unspecified","2020-10-21 22:54:58.000000"
"A02","Other salmonella infections","2020-10-21 22:54:58.000000"
"A022","Localized salmonella infections","2020-10-21 22:54:58.000000"
"A028","Other specified salmonella infections","2020-10-21 22:54:58.000000"
"A029","Salmonella infection, unspecified","2020-10-21 22:54:58.000000"
"A03","Shigellosis","2020-10-21 22:54:58.000000"
"A04","Other bacterial intestinal infections","2020-10-21 22:54:58.000000"
"A047","Enterocolitis due to Clostridium difficile","2020-10-21 22:54:58.000000"
"A048","Other specified bacterial intestinal infections","2020-10-21 22:54:58.000000"
"A049","Bacterial intestinal infection, unspecified","2020-10-21 22:54:58.000000"
"A05","Other bacterial foodborne intoxications, not elsewhere classified","2020-10-21 22:54:58.000000"
"A06","Amebiasis","2020-10-21 22:54:58.000000"
"A068","Amebic infection of other sites","2020-10-21 22:54:58.000000"
"A069","Amebiasis, unspecified","2020-10-21 22:54:58.000000"
"A07","Other protozoal intestinal diseases","2020-10-21 22:54:58.000000"
"A08","Viral and other specified intestinal infections","2020-10-21 22:54:58.000000"
"A081","Acute gastroenteropathy due to Norwalk agent and other small round viruses","2020-10-21 22:54:58.000000"
"A082","Adenoviral enteritis","2020-10-21 22:54:58.000000"
"A083","Other viral enteritis","2020-10-21 22:54:58.000000"
"A084","Viral intestinal infection, unspecified","2020-10-21 22:54:58.000000"
"A088","Other specified intestinal infections","2020-10-21 22:54:58.000000"
"A09","Infectious gastroenteritis and colitis, unspecified","2020-10-21 22:54:58.000000"
"A15","Respiratory tuberculosis","2020-10-21 22:54:58.000000"
"A17","Tuberculosis of nervous system","2020-10-21 22:54:58.000000"
"A178","Other tuberculosis of nervous system","2020-10-21 22:54:58.000000"
"A179","Tuberculosis of nervous system, unspecified","2020-10-21 22:54:58.000000"
"A18","Tuberculosis of other organs","2020-10-21 22:54:58.000000"
"A180","Tuberculosis of bones and joints","2020-10-21 22:54:58.000000"
"A181","Tuberculosis of genitourinary system","2020-10-21 22:54:58.000000"
"A182","Tuberculous peripheral lymphadenopathy","2020-10-21 22:54:58.000000"
"A183","Tuberculosis of intestines, peritoneum and mesenteric glands","2020-10-21 22:54:58.000000"
"A184","Tuberculosis of skin and subcutaneous tissue","2020-10-21 22:54:58.000000"
"A185","Tuberculosis of eye","2020-10-21 22:54:58.000000"
"A186","Tuberculosis of (inner) (middle) ear","2020-10-21 22:54:58.000000"
"A187","Tuberculosis of adrenal glands","2020-10-21 22:54:58.000000"
"A188","Tuberculosis of other specified organs","2020-10-21 22:54:58.000000"
"A19","Miliary tuberculosis","2020-10-21 22:54:58.000000"
"A20","Plague","2020-10-21 22:54:58.000000"
"A21","Tularemia","2020-10-21 22:54:58.000000"
"A22","Anthrax","2020-10-21 22:54:58.000000"
"A23","Brucellosis","2020-10-21 22:54:58.000000"
"A24","Glanders and melioidosis","2020-10-21 22:54:58.000000"
"A25","Rat-bite fevers","2020-10-21 22:54:58.000000"
"A26","Erysipeloid","2020-10-21 22:54:58.000000"
"A27","Leptospirosis","2020-10-21 22:54:58.000000"
"A278","Other forms of leptospirosis","2020-10-21 22:54:58.000000"
"A279","Leptospirosis, unspecified","2020-10-21 22:54:58.000000"
"A28","Other zoonotic bacterial diseases, not elsewhere classified","2020-10-21 22:54:58.000000"
"A30","Leprosy [Hansen's disease]","2020-10-21 22:54:58.000000"
"A31","Infection due to other mycobacteria","2020-10-21 22:54:58.000000"
"A32","Listeriosis","2020-10-21 22:54:58.000000"
"A321","Listerial meningitis and meningoencephalitis","2020-10-21 22:54:58.000000"
"A327","Listerial sepsis","2020-10-21 22:54:58.000000"
"A328","Other forms of listeriosis","2020-10-21 22:54:58.000000"
"A329","Listeriosis, unspecified","2020-10-21 22:54:58.000000"
"A33","Tetanus neonatorum","2020-10-21 22:54:58.000000"
"A34","Obstetrical tetanus","2020-10-21 22:54:58.000000"
"A35","Other tetanus","2020-10-21 22:54:58.000000"
"A36","Diphtheria","2020-10-21 22:54:58.000000"
"A368","Other diphtheria","2020-10-21 22:54:58.000000"
"A369","Diphtheria, unspecified","2020-10-21 22:54:58.000000"
"A37","Whooping cough","2020-10-21 22:54:58.000000"
"A370","Whooping cough due to Bordetella pertussis","2020-10-21 22:54:58.000000"
"A371","Whooping cough due to Bordetella parapertussis","2020-10-21 22:54:58.000000"
"A378","Whooping cough due to other Bordetella species","2020-10-21 22:54:58.000000"
"A379","Whooping cough, unspecified species","2020-10-21 22:54:58.000000"
"A38","Scarlet fever","2020-10-21 22:54:58.000000"
"A39","Meningococcal infection","2020-10-21 22:54:58.000000"
"A395","Meningococcal heart disease","2020-10-21 22:54:58.000000"
"A398","Other meningococcal infections","2020-10-21 22:54:58.000000"
"A399","Meningococcal infection, unspecified","2020-10-21 22:54:58.000000"
"A40","Streptococcal sepsis","2020-10-21 22:54:58.000000"
"A41","Other sepsis","2020-10-21 22:54:58.000000"
"A410","Sepsis due to Staphylococcus aureus","2020-10-21 22:54:58.000000"
"A411","Sepsis due to other specified staphylococcus","2020-10-21 22:54:58.000000"
"A412","Sepsis due to unspecified staphylococcus","2020-10-21 22:54:58.000000"
"A413","Sepsis due to Hemophilus influenzae","2020-10-21 22:54:58.000000"
"A414","Sepsis due to anaerobes","2020-10-21 22:54:58.000000"
"A415","Sepsis due to other Gram-negative organisms","2020-10-21 22:54:58.000000"
"A418","Other specified sepsis","2020-10-21 22:54:58.000000"
"A419","Sepsis, unspecified organism","2020-10-21 22:54:58.000000"
"A42","Actinomycosis","2020-10-21 22:54:58.000000"
"A428","Other forms of actinomycosis","2020-10-21 22:54:58.000000"
"A429","Actinomycosis, unspecified","2020-10-21 22:54:58.000000"
"A43","Nocardiosis","2020-10-21 22:54:58.000000"
"A44","Bartonellosis","2020-10-21 22:54:58.000000"
"A46","Erysipelas","2020-10-21 22:54:58.000000"
"A48","Other bacterial diseases, not elsewhere classified","2020-10-21 22:54:58.000000"
"A485","Other specified botulism","2020-10-21 22:54:58.000000"
"A488","Other specified bacterial diseases","2020-10-21 22:54:58.000000"
"A49","Bacterial infection of unspecified site","2020-10-21 22:54:58.000000"
"A490","Staphylococcal infection, unspecified site","2020-10-21 22:54:58.000000"
"A491","Streptococcal infection, unspecified site","2020-10-21 22:54:58.000000"
"A492","Hemophilus influenzae infection, unspecified site","2020-10-21 22:54:58.000000"
"A493","Mycoplasma infection, unspecified site","2020-10-21 22:54:58.000000"
"A498","Other bacterial infections of unspecified site","2020-10-21 22:54:58.000000"
"A499","Bacterial infection, unspecified","2020-10-21 22:54:58.000000"
"A50","Congenital syphilis","2020-10-21 22:54:58.000000"
"A500","Early congenital syphilis, symptomatic","2020-10-21 22:54:58.000000"
"A501","Early congenital syphilis, latent","2020-10-21 22:54:58.000000"
"A502","Early congenital syphilis, unspecified","2020-10-21 22:54:58.000000"
"A503","Late congenital syphilitic oculopathy","2020-10-21 22:54:58.000000"
"A504","Late congenital neurosyphilis [juvenile neurosyphilis]","2020-10-21 22:54:58.000000"
"A505","Other late congenital syphilis, symptomatic","2020-10-21 22:54:58.000000"
"A506","Late congenital syphilis, latent","2020-10-21 22:54:58.000000"
"A507","Late congenital syphilis, unspecified","2020-10-21 22:54:58.000000"
"A509","Congenital syphilis, unspecified","2020-10-21 22:54:58.000000"
"A51","Early syphilis","2020-10-21 22:54:58.000000"
"A513","Secondary syphilis of skin and mucous membranes","2020-10-21 22:54:58.000000"
"A514","Other secondary syphilis","2020-10-21 22:54:58.000000"
"A515","Early syphilis, latent","2020-10-21 22:54:58.000000"
"A519","Early syphilis, unspecified","2020-10-21 22:54:58.000000"
"A52","Late syphilis","2020-10-21 22:54:58.000000"
"A520","Cardiovascular and cerebrovascular syphilis","2020-10-21 22:54:58.000000"
"A521","Symptomatic neurosyphilis","2020-10-21 22:54:58.000000"
"A522","Asymptomatic neurosyphilis","2020-10-21 22:54:58.000000"
"A523","Neurosyphilis, unspecified","2020-10-21 22:54:58.000000"
"A527","Other symptomatic late syphilis","2020-10-21 22:54:58.000000"
"A528","Late syphilis, latent","2020-10-21 22:54:58.000000"
"A529","Late syphilis, unspecified","2020-10-21 22:54:58.000000"
"A53","Other and unspecified syphilis","2020-10-21 22:54:58.000000"
"A54","Gonococcal infection","2020-10-21 22:54:58.000000"
"A540","Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess","2020-10-21 22:54:58.000000"
"A541","Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess","2020-10-21 22:54:58.000000"
"A542","Gonococcal pelviperitonitis and other gonococcal genitourinary infection","2020-10-21 22:54:58.000000"
"A543","Gonococcal infection of eye","2020-10-21 22:54:58.000000"
"A544","Gonococcal infection of musculoskeletal system","2020-10-21 22:54:58.000000"
"A545","Gonococcal pharyngitis","2020-10-21 22:54:58.000000"
"A546","Gonococcal infection of anus and rectum","2020-10-21 22:54:58.000000"
"A548","Other gonococcal infections","2020-10-21 22:54:58.000000"
"A549","Gonococcal infection, unspecified","2020-10-21 22:54:58.000000"
"A55","Chlamydial lymphogranuloma (venereum)","2020-10-21 22:54:58.000000"
"A56","Other sexually transmitted chlamydial diseases","2020-10-21 22:54:58.000000"
"A560","Chlamydial infection of lower genitourinary tract","2020-10-21 22:54:58.000000"
"A561","Chlamydial infection of pelviperitoneum and other genitourinary organs","2020-10-21 22:54:58.000000"
"A562","Chlamydial infection of genitourinary tract, unspecified","2020-10-21 22:54:58.000000"
"A563","Chlamydial infection of anus and rectum","2020-10-21 22:54:58.000000"
"A564","Chlamydial infection of pharynx","2020-10-21 22:54:58.000000"
"A568","Sexually transmitted chlamydial infection of other sites","2020-10-21 22:54:58.000000"
"A57","Chancroid","2020-10-21 22:54:58.000000"
"A58","Granuloma inguinale","2020-10-21 22:54:58.000000"
"A59","Trichomoniasis","2020-10-21 22:54:58.000000"
"A590","Urogenital trichomoniasis","2020-10-21 22:54:58.000000"
"A598","Trichomoniasis of other sites","2020-10-21 22:54:58.000000"
"A599","Trichomoniasis, unspecified","2020-10-21 22:54:58.000000"
"A60","Anogenital herpesviral [herpes simplex] infections","2020-10-21 22:54:58.000000"
"A600","Herpesviral infection of genitalia and urogenital tract","2020-10-21 22:54:58.000000"
"A601","Herpesviral infection of perianal skin and rectum","2020-10-21 22:54:58.000000"
"A609","Anogenital herpesviral infection, unspecified","2020-10-21 22:54:58.000000"
"A63","Other predominantly sexually transmitted diseases, not elsewhere classified","2020-10-21 22:54:58.000000"
"A64","Unspecified sexually transmitted disease","2020-10-21 22:54:58.000000"
"A65","Nonvenereal syphilis","2020-10-21 22:54:58.000000"
"A66","Yaws","2020-10-21 22:54:58.000000"
"A67","Pinta [carate]","2020-10-21 22:54:58.000000"
"A68","Relapsing fevers","2020-10-21 22:54:58.000000"
"A69","Other spirochetal infections","2020-10-21 22:54:58.000000"
"A692","Lyme disease","2020-10-21 22:54:58.000000"
"A698","Other specified spirochetal infections","2020-10-21 22:54:58.000000"
"A699","Spirochetal infection, unspecified","2020-10-21 22:54:58.000000"
"A70","Chlamydia psittaci infections","2020-10-21 22:54:58.000000"
"A71","Trachoma","2020-10-21 22:54:58.000000"
"A74","Other diseases caused by chlamydiae","2020-10-21 22:54:58.000000"
"A748","Other chlamydial diseases","2020-10-21 22:54:58.000000"
"A749","Chlamydial infection, unspecified","2020-10-21 22:54:58.000000"
"A75","Typhus fever","2020-10-21 22:54:58.000000"
"A77","Spotted fever [tick-borne rickettsioses]","2020-10-21 22:54:58.000000"
"A774","Ehrlichiosis","2020-10-21 22:54:58.000000"
"A778","Other spotted fevers","2020-10-21 22:54:58.000000"
"A779","Spotted fever, unspecified","2020-10-21 22:54:58.000000"
"A78","Q fever","2020-10-21 22:54:58.000000"
"A79","Other rickettsioses","2020-10-21 22:54:58.000000"
"A798","Other specified rickettsioses","2020-10-21 22:54:58.000000"
"A799","Rickettsiosis, unspecified","2020-10-21 22:54:58.000000"
"A80","Acute poliomyelitis","2020-10-21 22:54:58.000000"
"A803","Acute paralytic poliomyelitis, other and unspecified","2020-10-21 22:54:58.000000"
"A804","Acute nonparalytic poliomyelitis","2020-10-21 22:54:58.000000"
"A809","Acute poliomyelitis, unspecified","2020-10-21 22:54:58.000000"
"A81","Atypical virus infections of central nervous system","2020-10-21 22:54:58.000000"
"A810","Creutzfeldt-Jakob disease","2020-10-21 22:54:58.000000"
"A811","Subacute sclerosing panencephalitis","2020-10-21 22:54:58.000000"
"A812","Progressive multifocal leukoencephalopathy","2020-10-21 22:54:58.000000"
"A818","Other atypical virus infections of central nervous system","2020-10-21 22:54:58.000000"
"A819","Atypical virus infection of central nervous system, unspecified","2020-10-21 22:54:58.000000"
"A82","Rabies","2020-10-21 22:54:58.000000"
"A83","Mosquito-borne viral encephalitis","2020-10-21 22:54:58.000000"
"A84","Tick-borne viral encephalitis","2020-10-21 22:54:58.000000"
"A85","Other viral encephalitis, not elsewhere classified","2020-10-21 22:54:58.000000"
"A86","Unspecified viral encephalitis","2020-10-21 22:54:58.000000"
"A87","Viral meningitis","2020-10-21 22:54:58.000000"
"A88","Other viral infections of central nervous system, not elsewhere classified","2020-10-21 22:54:58.000000"
"A89","Unspecified viral infection of central nervous system","2020-10-21 22:54:58.000000"
"A90","Dengue fever [classical dengue]","2020-10-21 22:54:58.000000"
"A91","Dengue hemorrhagic fever","2020-10-21 22:54:58.000000"
"A92","Other mosquito-borne viral fevers","2020-10-21 22:54:58.000000"
"A923","West Nile virus infection","2020-10-21 22:54:58.000000"
"A924","Rift Valley fever","2020-10-21 22:54:58.000000"
"A925","Zika virus disease","2020-10-21 22:54:58.000000"
"A928","Other specified mosquito-borne viral fevers","2020-10-21 22:54:58.000000"
"A929","Mosquito-borne viral fever, unspecified","2020-10-21 22:54:58.000000"
"A93","Other arthropod-borne viral fevers, not elsewhere classified","2020-10-21 22:54:58.000000"
"A94","Unspecified arthropod-borne viral fever","2020-10-21 22:54:58.000000"
"A95","Yellow fever","2020-10-21 22:54:58.000000"
"A96","Arenaviral hemorrhagic fever","2020-10-21 22:54:58.000000"
"A98","Other viral hemorrhagic fevers, not elsewhere classified","2020-10-21 22:54:58.000000"
"A99","Unspecified viral hemorrhagic fever","2020-10-21 22:54:58.000000"
"B00","Herpesviral [herpes simplex] infections","2020-10-21 22:54:58.000000"
"B005","Herpesviral ocular disease","2020-10-21 22:54:58.000000"
"B007","Disseminated herpesviral disease","2020-10-21 22:54:58.000000"
"B008","Other forms of herpesviral infections","2020-10-21 22:54:58.000000"
